MGYS00005807	ERP127759	ERP127759
MGYS00003553	ERP108241	ERP108241
MGYS00003548	ERP108276	ERP108276
MGYS00002014	ERP104068	ERP104068
MGYS00004857	ERP112174	ERP112174
MGYS00000724	SRP017461
MGYS00001417	ERP008576
MGYS00003994	SRP124998	SRP124998
MGYS00004332	ERP013909
MGYS00003086	SRP001265
MGYS00001720	ERP016694	ERP016694	ERP016694
MGYS00004856	ERP112173	ERP112173
MGYS00002384	ERP109034	ERP109034
MGYS00002665	SRP107954	SRP107954
MGYS00003294	ERP108215	ERP108215
MGYS00000584	ERP012257
MGYS00004976	ERP112663	ERP112663
MGYS00000742	SRP022241
MGYS00004140	SRP091877
MGYS00000895	SRP051176
MGYS00001597	ERP010186
MGYS00003340	ERP108399	ERP108399
MGYS00005215	SRP071118	SRP071118
MGYS00001353	ERP010264
MGYS00005837	ERP132848	ERP132848
MGYS00001537	ERP021378
MGYS00004416	SRP071102
MGYS00003644	ERP111271	ERP111271
MGYS00004389	SRP063425	SRP063425
MGYS00004980	ERP112667	ERP112667
MGYS00004969	ERP112656	ERP112656
MGYS00004481	SRP108205
MGYS00003468	ERP107929	ERP107929	ERP107929	ERP107929
MGYS00001205	ERP014717
MGYS00004149	SRP000936	SRP000936
MGYS00000787	SRP028115
MGYS00005800	ERP128120	ERP128120
MGYS00001424	ERP014444
MGYS00005690	ERP124933	ERP124933
MGYS00005221	SRP131268
MGYS00000738	SRP017254
MGYS00001641	ERP013027
MGYS00004565	SRP001172	SRP001172
MGYS00004777	ERP111923	ERP111923
MGYS00001632	DRP000423
MGYS00006271	ERP117039
MGYS00005704	ERP126938	ERP126938
MGYS00005256	ERP009409
MGYS00002811	SRP056891	SRP056891
MGYS00004726	ERP114682
MGYS00002701	ERP110218	ERP110218
MGYS00001671	SRP005095
MGYS00004738	ERP111157	ERP111157
MGYS00003957	ERP020884
MGYS00001307	ERP019568
MGYS00005025	ERP112252	ERP112252
MGYS00004022	SRP083084
MGYS00006347	SRP273063	SRP273063
MGYS00003173	SRP156521
MGYS00000602	ERP013929
MGYS00003216	ERP108093	ERP108093
MGYS00001708	ERP022631
MGYS00006298	ERP137192	ERP137192
MGYS00002325	ERP106341	ERP106341	ERP106341	ERP106341
MGYS00001889	ERP013289
MGYS00002562	ERP020541
MGYS00000969	ERP015552
MGYS00004562	ERP023176	ERP023176
MGYS00004077	ERP001390
MGYS00005143	SRP126946	SRP126946
MGYS00002889	SRP101978
MGYS00006030	ERP137072	ERP137072
MGYS00004827	ERP112128	ERP112128
MGYS00005082	SRP079878	SRP079878
MGYS00005318	ERP110359	ERP110359
MGYS00003613	ERP108847	ERP108847
MGYS00006460	SRP072219
MGYS00001413	ERP005294
MGYS00000306	ERP001596
MGYS00001461	ERP005270
MGYS00003521	ERP111179	ERP111179
MGYS00002068	ERP104319	ERP104319	ERP104319	ERP104319
MGYS00006369	SRP057611
MGYS00001372	ERP019565
MGYS00006422	SRP413524	SRP413524
MGYS00002231	SRP047405
MGYS00001027	SRP047400
MGYS00004176	SRP113732
MGYS00002783	SRP095090
MGYS00003516	ERP111035	ERP111035
MGYS00006404	SRP370407
MGYS00002220	SRP044345	SRP044345
MGYS00000282	SRP001803
MGYS00003253	ERP108165	ERP108165
MGYS00004678	SRP045752
MGYS00005597	SRP065133
MGYS00001065	SRP051109
MGYS00005762	ERP127786	ERP127786
MGYS00004988	ERP112883	ERP112883
MGYS00003537	ERP108395	ERP108395
MGYS00000566	ERP010960
MGYS00003371	ERP108937	ERP108937
MGYS00000489	ERP006091
MGYS00006069	ERP133351	ERP133351
MGYS00006073	ERP140676	ERP140676
MGYS00005572	ERP121541	ERP121541
MGYS00002522	SRP058343
MGYS00002246	SRP020623
MGYS00005612	ERP107551	ERP107551
MGYS00000629	ERP014481
MGYS00003126	SRP106037	SRP106037
MGYS00002565	SRP043978
MGYS00005427	ERP114103	ERP114103
MGYS00003950	ERP016285	ERP016285
MGYS00002429	ERP109318	ERP109318	ERP109318
MGYS00003381	ERP111149	ERP111149
MGYS00005267	ERP003512
MGYS00005030	ERP111646	ERP111646
MGYS00005101	SRP057859	SRP057859
MGYS00004673	SRP015399
MGYS00003632	ERP111173	ERP111173
MGYS00003542	ERP108292	ERP108292
MGYS00006266	ERP145987	ERP145987
MGYS00002242	DRP003100
MGYS00002838	SRP015731
MGYS00001068	ERP012926	ERP012926
MGYS00001416	ERP008575
MGYS00003362	ERP108845	ERP108845
MGYS00000883	SRP039562
MGYS00004014	SRP107183
MGYS00005290	SRP106449	SRP106449
MGYS00002119	SRP009489	SRP009489
MGYS00001160	SRP047259
MGYS00000781	SRP026345
MGYS00000361	ERP004327
MGYS00000477	ERP010094
MGYS00000551	ERP012647
MGYS00004466	SRP102045	SRP102045
MGYS00000400	ERP006128
MGYS00004928	ERP112615	ERP112615
MGYS00000967	SRP066360
MGYS00002960	SRP150655
MGYS00000951	SRP042100
MGYS00002566	SRP040423	SRP040423	SRP040423	SRP040423
MGYS00002083	ERP105440
MGYS00005141	SRP109831	SRP109831
MGYS00003335	ERP108355	ERP108355
MGYS00006062	ERP125074	ERP125074
MGYS00000363	ERP004852
MGYS00004497	SRP115665	SRP115665
MGYS00006278	ERP133200	ERP133200
MGYS00004207	SRP041047
MGYS00004058	SRP018043
MGYS00003172	SRP155989
MGYS00004567	SRP001207
MGYS00004791	ERP111937	ERP111937
MGYS00006188	ERP140042	ERP140042
MGYS00005589	SRP228480	SRP228480
MGYS00000805	SRP032534
MGYS00004771	ERP111839	ERP111839
MGYS00000876	SRP040259
MGYS00001418	ERP011344
MGYS00001951	ERP011577	ERP011577
MGYS00003308	ERP108234	ERP108234
MGYS00003278	ERP108197	ERP108197
MGYS00003314	ERP108245	ERP108245
MGYS00004715	ERP114603
MGYS00006430	SRP437776
MGYS00000358	ERP000674
MGYS00003666	ERP016455	ERP016455
MGYS00002888	SRP028852
MGYS00006019	SRP126632
MGYS00004151	SRP006126
MGYS00002048	ERP104212	ERP104212	ERP104212	ERP104212
MGYS00001031	SRP049174	SRP049174
MGYS00004357	SRP039499
MGYS00001014	SRP045799
MGYS00001953	ERP104516	ERP104516
MGYS00003348	ERP108541	ERP108541
MGYS00004885	ERP112420	ERP112420
MGYS00006197	ERP139864	ERP139864
MGYS00001869	ERP016733	ERP016733
MGYS00005152	ERP110230	ERP110230
MGYS00002301	SRP115812	SRP115812
MGYS00003808	ERP020507
MGYS00003067	ERP110700	ERP110700
MGYS00002668	SRP116781	SRP116781
MGYS00001550	ERP002513
MGYS00002649	SRP125578
MGYS00006182	ERP139975	ERP139975
MGYS00005220	SRP123446	SRP123446
MGYS00003260	ERP108174	ERP108174
MGYS00001719	ERP020024
MGYS00001536	ERP019891
MGYS00001776	ERP023030
MGYS00006494	SRP025173
MGYS00004888	ERP112423	ERP112423
MGYS00004903	ERP112588	ERP112588
MGYS00000900	SRP035329
MGYS00002603	DRP003153	DRP003153
MGYS00006179	ERP139924	ERP139924
MGYS00001761	ERP022944
MGYS00004898	ERP112583	ERP112583
MGYS00002241	ERP014011
MGYS00003718	ERP113304	ERP113304
MGYS00001794	SRP100290
MGYS00004877	ERP112194	ERP112194
MGYS00004532	SRP149132	SRP149132
MGYS00003859	ERP016540
MGYS00003330	ERP108285	ERP108285
MGYS00003297	ERP108218	ERP108218
MGYS00005321	ERP111281	ERP111281	ERP111281	ERP111281
MGYS00000779	SRP026166
MGYS00002736	SRP101391	SRP101391
MGYS00003309	ERP108235	ERP108235
MGYS00000637	SRP017909
MGYS00001497	SRP019052
MGYS00001515	ERP016494
MGYS00001035	SRP049269
MGYS00000916	SRP041238
MGYS00000565	ERP012965
MGYS00005766	ERP122587	ERP122587
MGYS00000367	ERP004846
MGYS00001223	ERP010045
MGYS00004136	SRP068545
MGYS00004257	SRP045338
MGYS00001685	ERP021393
MGYS00005568	ERP016897	ERP016897
MGYS00002957	SRP150142
MGYS00002425	ERP106708	ERP106708	ERP106708	ERP106708
MGYS00005136	ERP116266	ERP116266
MGYS00000771	SRP026071
MGYS00004892	ERP112427	ERP112427
MGYS00004941	ERP112628	ERP112628
MGYS00005067	ERP105198	ERP105198
MGYS00003372	ERP108940	ERP108940
MGYS00005239	SRP043574	SRP043574
MGYS00004242	SRP127267	SRP127267
MGYS00000735	SRP018607
MGYS00006233	ERP139955	ERP139955
MGYS00006203	ERP140099	ERP140099
MGYS00002282	ERP105504	ERP105504
MGYS00000425	ERP008824
MGYS00001280	ERP014628
MGYS00005222	SRP159872	SRP159872
MGYS00002262	SRP045295
MGYS00003004	SRP134151
MGYS00003594	ERP108073	ERP108073
MGYS00001792	ERP016830
MGYS00002479	ERP023928
MGYS00005751	DRP004628
MGYS00005125	ERP117698	ERP117698
MGYS00005126	ERP117971	ERP117971
MGYS00006275	ERP124015
MGYS00000870	SRP040544
MGYS00003811	ERP020510
MGYS00002319	ERP106170	ERP106170
MGYS00005319	ERP108930	ERP108930	ERP108930	ERP108930
MGYS00003118	SRP080835
MGYS00001840	SRP059258
MGYS00002172	SRP049665
MGYS00000521	ERP011562
MGYS00001110	ERP015657
MGYS00000691	SRP014451
